City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
642,Sambava,MG,69.89,clear sky,-14.2667,50.1667,
652,Kamina,CD,66.47,light rain,-8.7386,24.9906,
657,Vasto,IT,64.76,overcast clouds,42.1243,14.7059,
659,Thohoyandou,ZA,60.08,clear sky,-22.9456,30.485,
668,Malanje,AO,68.05,overcast clouds,-9.5402,16.341,
681,Lashio,MM,64.65,few clouds,22.9333,97.75,
684,Zemio,CF,69.98,scattered clouds,5.0314,25.1361,
685,Gemena,CD,68.5,overcast clouds,3.25,19.7667,
686,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,
689,Santa Maria,BR,69.1,clear sky,-29.6842,-53.8069,
