City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dongsheng,CN,39.8161,109.9776,60.26,66,99,3.06,overcast clouds
80,Strausberg,DE,52.5786,13.8874,62.08,68,100,10.87,overcast clouds
81,Mehamn,NO,71.0357,27.8492,50.79,85,96,19.6,overcast clouds
82,Pietarsaari,FI,63.65,22.6833,48.88,83,6,11.77,clear sky
83,Yulara,AU,-25.2406,130.9889,60.64,51,0,8.05,clear sky
84,Alugan,PH,12.2188,125.4808,80.22,81,99,1.63,overcast clouds
85,Eureka,US,40.8021,-124.1637,80.67,90,84,3.0,broken clouds
86,Constantine,DZ,36.365,6.6147,69.21,64,20,6.91,few clouds
87,Lorengau,PG,-2.0226,147.2712,80.13,77,100,2.51,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,57,0,11.5,clear sky
89,Ohafia,NG,5.6167,7.8333,73.44,96,86,3.8,overcast clouds
90,Saint George,US,37.1041,-113.5841,87.35,18,1,3.0,clear sky
91,Bethel,US,41.3712,-73.414,75.94,59,89,7.83,overcast clouds
92,Hoquiam,US,46.9809,-123.8893,66.92,13,55,3.0,broken clouds
93,Portland,US,45.5234,-122.6762,70.84,64,52,1.01,broken clouds
94,Kodiak,US,57.79,-152.4072,40.51,42,1,27.63,volcanic ash
95,Kindu,CD,-2.95,25.95,70.27,98,100,3.38,light rain
96,Cidreira,BR,-30.1811,-50.2056,64.45,70,82,8.86,broken clouds
97,Ariquemes,BR,-9.9133,-63.0408,91.54,44,83,4.45,broken clouds
98,River Falls,US,44.8614,-92.6238,74.39,77,67,7.83,broken clouds
99,Tigil,RU,57.8,158.6667,43.03,87,100,4.68,overcast clouds
100,New Norfolk,AU,-42.7826,147.0587,53.1,78,99,1.28,overcast clouds
101,Leningradskiy,RU,69.3833,178.4167,14.11,74,17,12.62,few clouds
102,Blagoveshchensk,RU,50.2667,127.5333,29.01,100,0,2.24,clear sky
103,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,84,59,18.28,broken clouds
104,Sangar,RU,63.9242,127.4739,28.26,83,6,1.54,clear sky
105,Fortuna,US,40.5982,-124.1573,80.42,92,1,4.61,clear sky
106,Fuling,CN,29.7022,107.3919,76.26,72,0,4.56,clear sky
107,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,91.42,33,70,7.61,broken clouds
108,Nelson Bay,AU,-32.7167,152.15,60.1,84,0,13.89,clear sky
109,Sal Rei,CV,16.1833,-22.9167,81.16,78,40,11.5,scattered clouds
110,Port Blair,IN,11.6667,92.75,80.22,82,100,9.35,overcast clouds
111,Lakatoro,VU,-16.0999,167.4164,78.6,86,100,13.58,overcast clouds
112,Atikokan,CA,48.7555,-91.6216,66.76,78,100,5.08,overcast clouds
113,Georgetown,MY,5.4112,100.3354,80.55,87,20,1.99,few clouds
114,Namibe,AO,-15.1961,12.1522,61.27,84,4,5.12,clear sky
115,Porterville,US,36.0652,-119.0168,93.76,9,0,4.99,clear sky
116,Kudahuvadhoo,MV,2.6708,72.8944,82.11,75,61,13.35,broken clouds
117,Navahrudak,BY,53.6,25.8333,47.41,71,93,12.12,overcast clouds
118,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,83,40,16.06,scattered clouds
119,Jamestown,US,42.097,-79.2353,74.08,49,1,5.75,clear sky
120,Provideniya,RU,64.3833,-173.3,24.66,74,3,4.25,clear sky
121,Balykshi,KZ,47.0667,51.8667,41.0,52,0,8.95,clear sky
122,Port Arthur,CN,38.8,121.2667,71.82,89,100,14.23,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,28.62,86,100,14.07,overcast clouds
124,Buchanan,LR,5.8808,-10.0467,78.76,92,100,3.13,light rain
125,Mahdasht,IR,35.7299,50.8111,70.02,67,0,11.5,clear sky
126,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,11.5,overcast clouds
127,Aykhal,RU,66.0,111.5,26.6,50,88,1.9,overcast clouds
128,Saskylakh,RU,71.9167,114.0833,20.88,97,100,3.49,overcast clouds
129,Tadine,NC,-21.55,167.8833,73.4,91,89,14.32,overcast clouds
130,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,30,0,18.41,clear sky
131,Troitsko-Pechorsk,RU,62.7084,56.1964,35.26,70,100,3.98,overcast clouds
132,Nemuro,JP,43.3236,145.575,57.04,81,51,21.7,broken clouds
133,Viedma,AR,-40.8135,-62.9967,48.31,80,96,28.5,overcast clouds
134,Stettler,CA,52.3168,-112.7186,60.64,29,99,14.97,overcast clouds
135,Grindavik,IS,63.8424,-22.4338,42.91,81,75,29.93,broken clouds
136,Sechura,PE,-5.5569,-80.8222,75.33,56,46,17.49,scattered clouds
137,Richards Bay,ZA,-28.783,32.0377,66.11,85,100,8.19,overcast clouds
138,Airai,TL,-8.9266,125.4092,59.07,92,57,0.83,broken clouds
139,Rio Grande,BR,-32.035,-52.0986,69.91,67,11,10.27,few clouds
140,Abu Samrah,SY,35.3029,37.1841,73.49,58,0,9.31,clear sky
141,Cockburn Town,TC,21.4612,-71.1419,82.36,69,75,11.5,broken clouds
142,Parabel,RU,58.6978,81.4825,30.85,97,100,4.72,overcast clouds
143,Marzuq,YE,14.4,46.4667,73.92,57,99,13.2,overcast clouds
144,Souillac,MU,-20.5167,57.5167,73.36,83,75,13.8,broken clouds
145,Itoman,JP,26.1247,127.6694,77.02,78,20,3.44,few clouds
146,Dunedin,NZ,-45.8742,170.5036,51.96,73,92,6.78,overcast clouds
147,Kasba,IN,25.85,87.55,78.21,87,86,4.9,overcast clouds
