City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kapaa,US,2021-09-26 15:26:49,22.0752,-159.319,77.32,83,75,4.0
68,Kieta,PG,2021-09-26 15:26:50,-6.2167,155.6333,78.62,84,54,2.48
69,Narsaq,GL,2021-09-26 15:26:50,60.9167,-46.05,39.42,37,0,3.44
70,Koszalin,PL,2021-09-26 15:26:51,54.1944,16.1722,66.6,62,91,4.61
71,Tasiilaq,GL,2021-09-26 15:26:51,65.6145,-37.6368,39.36,72,51,2.84
72,Yellowknife,CA,2021-09-26 15:26:40,62.456,-114.3525,36.41,99,90,5.75
73,Meulaboh,ID,2021-09-26 15:26:52,4.1363,96.1285,74.14,95,100,5.84
74,Lodja,CD,2021-09-26 15:26:52,-3.4833,23.4333,74.75,77,97,6.35
75,Portland,US,2021-09-26 15:24:35,45.5234,-122.6762,60.08,81,90,1.01
76,Carnarvon,AU,2021-09-26 15:26:53,-24.8667,113.6333,66.27,59,0,9.22
77,Ziarat,PK,2021-09-26 15:26:54,30.3823,67.7282,66.61,46,0,3.02
78,Houma,US,2021-09-26 15:26:54,29.5958,-90.7195,78.8,73,1,9.22
79,Maceio,BR,2021-09-26 15:23:16,-9.6658,-35.7353,87.24,62,75,13.8
80,Isangel,VU,2021-09-26 15:26:55,-19.55,169.2667,64.51,94,15,1.14
81,Ylojarvi,FI,2021-09-26 15:26:55,61.5563,23.5961,56.95,62,0,3.44
82,Karoi,ZW,2021-09-26 15:26:56,-16.8099,29.6925,80.98,22,4,9.15
83,Port Hardy,CA,2021-09-26 15:26:56,50.6996,-127.4199,53.78,94,75,5.75
84,Abbeville,FR,2021-09-26 15:26:56,50.1,1.8333,72.68,77,81,12.66
85,Ternate,ID,2021-09-26 15:26:57,0.8,127.4,80.94,78,30,0.81
86,Chuy,UY,2021-09-26 15:26:57,-33.6971,-53.4616,68.54,63,22,1.39
87,Filadelfia,US,2021-09-26 15:24:29,39.9523,-75.1638,70.63,54,20,4.0
88,Tazovskiy,RU,2021-09-26 15:26:58,67.4667,78.7,33.91,70,5,6.98
89,Padang,ID,2021-09-26 15:26:58,-0.9492,100.3543,75.25,95,100,2.39
90,Faya,SA,2021-09-26 15:26:59,18.3851,42.4509,78.91,22,44,14.38
91,Fairbanks,US,2021-09-26 15:26:59,64.8378,-147.7164,31.96,93,90,0.0
92,Charters Towers,AU,2021-09-26 15:27:00,-20.1,146.2667,63.23,89,5,10.58
93,Avarua,CK,2021-09-26 15:27:00,-21.2078,-159.775,69.85,94,40,3.44
94,Sunndalsora,NO,2021-09-26 15:27:01,62.6754,8.5515,61.45,69,100,9.17
95,Dubrovytsya,UA,2021-09-26 15:27:01,51.5744,26.565,58.32,66,77,5.7
96,Dinguiraye,GN,2021-09-26 15:27:02,11.3,-10.7167,86.23,55,98,7.38
97,Naze,JP,2021-09-26 15:27:02,28.3667,129.4833,77.79,84,25,10.96
98,Menongue,AO,2021-09-26 15:27:02,-14.6585,17.691,93.52,8,4,8.25
99,Nome,US,2021-09-26 15:27:03,64.5011,-165.4064,37.47,87,90,12.66
100,Tiksi,RU,2021-09-26 15:27:03,71.6872,128.8694,34.59,97,100,15.3
101,Waspan,NI,2021-09-26 15:27:04,14.7419,-83.9717,82.18,79,90,3.67
102,Lerwick,GB,2021-09-26 15:27:04,60.1545,-1.1494,55.4,97,100,25.28
103,Mar Del Plata,AR,2021-09-26 15:27:04,-38.0023,-57.5575,66.22,66,0,11.01
104,Port Lincoln,AU,2021-09-26 15:27:05,-34.7333,135.8667,56.71,79,97,12.93
105,Lompoc,US,2021-09-26 15:27:06,34.6391,-120.4579,60.57,90,90,0.0
106,New Norfolk,AU,2021-09-26 15:27:06,-42.7826,147.0587,42.71,71,8,2.77
107,Saldanha,ZA,2021-09-26 15:27:07,-33.0117,17.9442,77.05,76,4,13.13
108,Indramayu,ID,2021-09-26 15:27:07,-6.3264,108.32,82.42,75,78,6.64
109,Margate,GB,2021-09-26 15:25:52,51.3813,1.3862,70.18,92,100,14.97
110,Solnechnyy,RU,2021-09-26 15:27:08,50.7214,136.6319,51.22,79,96,3.65
111,Kruisfontein,ZA,2021-09-26 15:27:08,-34.0033,24.7314,63.88,71,55,12.44
112,Saint-Joseph,RE,2021-09-26 15:27:09,-21.3667,55.6167,71.2,80,48,14.18
113,Makurdi,NG,2021-09-26 15:27:09,7.7411,8.5121,83.08,74,88,3.69
114,Bethel,US,2021-09-26 15:27:10,41.3712,-73.414,69.08,69,20,1.99
115,Oyama,JP,2021-09-26 15:27:10,36.3,139.8,68.59,77,100,4.97
116,Hondo,JP,2021-09-26 15:27:11,32.45,130.2,75.45,75,61,5.32
117,Kiruna,SE,2021-09-26 15:27:11,67.8557,20.2251,45.52,76,0,12.66
118,Dingle,PH,2021-09-26 15:27:12,10.9995,122.6711,77.34,90,83,1.63
119,San Quintin,MX,2021-09-26 15:23:36,30.4833,-115.95,67.12,78,100,6.76
120,San Cristobal,VE,2021-09-26 15:27:12,7.7669,-72.225,86.18,44,26,7.29
121,Sitka,US,2021-09-26 15:27:13,57.0531,-135.33,44.49,81,90,0.0
122,Bitkine,TD,2021-09-26 15:27:13,11.9801,18.2138,91.69,39,58,7.47
123,San Andres,CO,2021-09-26 15:27:13,12.5847,-81.7006,86.02,79,75,16.11
124,Pangnirtung,CA,2021-09-26 15:27:14,66.1451,-65.7125,35.38,59,17,1.12
125,Mayo,US,2021-09-26 15:27:14,38.8876,-76.5119,71.8,56,1,8.01
126,Tateyama,JP,2021-09-26 15:27:15,34.9833,139.8667,67.01,74,37,12.41
127,Kathu,TH,2021-09-26 15:27:15,7.9178,98.3332,75.02,84,100,10.31
128,Laguna,US,2021-09-26 15:27:15,38.421,-121.4238,67.21,84,1,3.0
129,Tarko-Sale,RU,2021-09-26 15:27:16,64.9225,77.785,34.83,73,7,9.6
130,Samarai,PG,2021-09-26 15:27:16,-10.6167,150.6667,79.29,86,70,11.88
131,Kununurra,AU,2021-09-26 15:27:17,-15.7667,128.7333,73.38,64,100,1.14
132,Isabela,PH,2021-09-26 15:27:17,6.7085,121.9711,78.85,84,89,3.04
133,Tyssedal,NO,2021-09-26 15:27:18,60.1165,6.562,65.88,65,100,4.83
134,Atuona,PF,2021-09-26 15:27:18,-9.8,-139.0333,77.61,73,70,20.2
135,Bredasdorp,ZA,2021-09-26 15:27:18,-34.5322,20.0403,61.29,74,87,9.75
136,Vylkove,UA,2021-09-26 15:27:19,45.4021,29.586,71.1,49,1,5.77
137,La Palma,US,2021-09-26 15:27:19,33.8464,-118.0467,68.95,84,90,3.0
138,Airai,TL,2021-09-26 15:27:20,-8.9266,125.4092,59.23,92,93,2.13
139,Matiri,TZ,2021-09-26 15:27:20,-10.75,34.9,76.32,31,64,6.62
140,Barrow,US,2021-09-26 15:27:20,71.2906,-156.7887,23.02,86,90,5.75
141,Butaritari,KI,2021-09-26 15:27:21,3.0707,172.7902,83.25,76,84,16.26
142,Dharan,NP,2021-09-26 15:27:21,26.8125,87.2835,79.12,79,78,4.29
143,Axim,GH,2021-09-26 15:27:22,4.8699,-2.2405,75.11,92,100,7.38
144,Cabo San Lucas,MX,2021-09-26 15:27:22,22.8909,-109.9124,86.5,70,21,1.99
145,Tondano,ID,2021-09-26 15:27:22,1.3038,124.9112,69.89,89,100,2.64
146,Kavieng,PG,2021-09-26 15:27:23,-2.5744,150.7967,81.12,82,100,11.48
