City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Atuona,PF,-9.8,-139.0333,77.92,72,40,20.74,scattered clouds
79,Kochki,RU,54.3358,80.4806,38.77,98,100,6.71,overcast clouds
80,Shirokiy,RU,49.758,129.523,36.5,87,59,7.05,broken clouds
81,Pangoa,PE,-12.1167,-73.0,90.14,39,73,6.46,broken clouds
82,Siyabuswa,ZA,-25.1132,29.0445,65.93,67,9,16.06,clear sky
83,Mahebourg,MU,-20.4081,57.7,72.25,78,40,13.8,scattered clouds
84,Chuy,UY,-33.6971,-53.4616,63.52,76,85,16.64,moderate rain
85,San Cristobal,VE,7.7669,-72.225,77.18,66,86,4.05,overcast clouds
86,Tornio,FI,65.8481,24.1466,46.42,85,100,7.14,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,75.49,87,98,3.24,overcast clouds
88,Treviglio,IT,45.5238,9.5895,71.65,68,20,2.3,few clouds
89,Acushnet,US,41.6807,-70.9078,63.28,62,75,5.99,broken clouds
90,North Platte,US,41.1239,-100.7654,62.49,66,90,5.99,overcast clouds
91,Neftcala,AZ,39.3742,49.2472,64.56,73,100,24.96,overcast clouds
92,Half Moon Bay,US,37.4636,-122.4286,81.14,59,1,0.0,clear sky
93,Hithadhoo,MV,-0.6,73.0833,82.27,71,24,2.48,few clouds
94,Boyolangu,ID,-8.1181,111.8935,74.37,93,49,5.26,scattered clouds
95,Pisco,PE,-13.7,-76.2167,67.01,77,0,10.36,clear sky
96,Meulaboh,ID,4.1363,96.1285,76.5,90,100,6.87,light rain
97,Hualmay,PE,-11.0964,-77.6139,68.85,72,46,11.63,scattered clouds
98,Cherskiy,RU,68.75,161.3,9.5,99,93,5.21,overcast clouds
99,Dikson,RU,73.5069,80.5464,33.73,84,100,24.0,overcast clouds
100,College,US,64.8569,-147.8028,26.8,81,75,4.61,broken clouds
101,Faanui,PF,-16.4833,-151.75,79.48,70,10,18.23,clear sky
102,Tiksi,RU,71.6872,128.8694,30.78,74,100,4.92,overcast clouds
103,Barahona,DO,18.2085,-71.1008,89.42,66,20,11.5,few clouds
104,Bilma,NE,18.6853,12.9164,91.49,7,0,7.9,clear sky
105,Verkhnyaya Inta,RU,65.9811,60.3094,36.09,74,83,5.97,broken clouds
106,Klang,MY,3.0333,101.45,80.74,83,20,1.14,few clouds
107,Miri,MY,4.4148,114.0089,78.94,89,40,1.14,scattered clouds
108,Neryungri,RU,56.6709,124.6491,19.83,98,99,3.76,overcast clouds
109,Barrow,US,71.2906,-156.7887,28.42,74,90,8.05,haze
110,Lorengau,PG,-2.0226,147.2712,80.83,80,99,8.48,heavy intensity rain
111,Lagoa,PT,39.05,-27.9833,71.82,79,14,5.75,few clouds
112,Codrington,AU,-38.2667,141.9667,54.93,94,100,18.54,overcast clouds
113,Yinchuan,CN,38.4681,106.2731,68.59,18,38,3.13,scattered clouds
114,Kahului,US,20.8947,-156.47,75.22,91,40,10.36,light rain
115,Kapaa,US,22.0752,-159.319,76.98,81,75,13.8,light rain
116,Saskylakh,RU,71.9167,114.0833,19.49,94,98,2.73,overcast clouds
117,Cape Town,ZA,-33.9258,18.4232,66.61,59,0,12.66,clear sky
118,Koumac,NC,-20.5667,164.2833,69.67,86,14,5.26,few clouds
119,Rio Gallegos,AR,-51.6226,-69.2181,51.85,28,40,23.02,scattered clouds
120,Dunedin,NZ,-45.8742,170.5036,46.8,74,44,11.23,scattered clouds
121,Fort Nelson,CA,58.8053,-122.7002,36.99,100,90,4.61,mist
122,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.89,78,39,9.55,scattered clouds
123,Tiarei,PF,-17.5333,-149.3333,78.82,76,10,18.43,clear sky
124,Masunga,BW,-20.6246,27.4488,75.72,39,85,9.42,overcast clouds
125,Warah,PK,27.4481,67.7978,84.47,69,80,11.39,broken clouds
126,Chokurdakh,RU,70.6333,147.9167,14.13,92,29,9.37,scattered clouds
127,Filadelfia,US,39.9523,-75.1638,71.19,49,40,4.0,scattered clouds
128,Holme,DK,56.1138,10.1725,52.75,84,99,14.45,overcast clouds
129,Ostrovnoy,RU,68.0531,39.5131,43.07,87,75,3.06,broken clouds
130,Butaritari,KI,3.0707,172.7902,81.73,74,99,12.08,overcast clouds
131,Vila,PT,42.0304,-8.1588,63.34,53,37,2.57,scattered clouds
132,Bardiyah,LY,31.7561,25.0865,75.11,61,0,17.49,clear sky
133,Songjianghe,CN,42.1859,127.479,48.9,91,100,2.77,overcast clouds
134,East London,ZA,-33.0153,27.9116,65.34,94,75,11.5,light rain
135,Upernavik,GL,72.7868,-56.1549,32.7,77,100,10.22,overcast clouds
136,Nador,MA,35.174,-2.9287,75.27,83,75,4.61,broken clouds
137,Uruzgan,AF,32.8333,66.0,70.38,19,5,1.07,clear sky
138,Jiwani,PK,25.05,61.7417,85.86,68,67,1.57,broken clouds
139,Martinho Campos,BR,-19.3317,-45.2369,91.02,28,44,2.13,scattered clouds
140,Kondoa,TZ,-4.9,35.7833,69.28,60,86,11.99,overcast clouds
141,Kruisfontein,ZA,-34.0033,24.7314,59.88,98,100,15.59,light rain
142,Altamira,BR,-3.2033,-52.2064,91.49,55,75,5.75,broken clouds
143,Hay River,CA,60.8156,-115.7999,42.78,87,75,3.44,broken clouds
144,Paragominas,BR,-2.9667,-47.4833,92.84,39,57,2.19,broken clouds
145,Sibolga,ID,1.7427,98.7792,76.14,88,100,1.45,overcast clouds
146,Yumen,CN,40.2833,97.2,59.09,26,62,7.65,broken clouds
147,Tame,CO,6.461,-71.73,78.13,86,98,1.25,overcast clouds
148,Kaitangata,NZ,-46.2817,169.8464,50.94,66,93,11.79,overcast clouds
149,Ilhabela,BR,-23.7781,-45.3581,72.64,76,54,5.59,broken clouds
150,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,75,11.5,broken clouds
151,Kavaratti,IN,10.5669,72.642,81.61,80,43,13.73,scattered clouds
152,Belmonte,BR,-15.8631,-38.8828,82.9,62,34,10.92,scattered clouds
153,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,12.66,overcast clouds
154,Souillac,MU,-20.5167,57.5167,72.36,78,40,13.8,scattered clouds
155,Alyangula,AU,-13.8483,136.4192,76.87,94,75,4.61,broken clouds
156,Jacareacanga,BR,-6.2222,-57.7528,97.11,44,0,6.91,clear sky
157,Shingu,JP,33.7333,135.9833,71.2,91,100,10.09,moderate rain
158,Manokwari,ID,-0.8667,134.0833,78.82,73,89,4.12,overcast clouds
159,Grafton,US,42.207,-71.6856,60.73,59,90,1.01,overcast clouds
160,Flin Flon,CA,54.7682,-101.865,58.84,72,1,4.61,clear sky
161,Alofi,NU,-19.0595,-169.9187,73.29,88,80,10.36,broken clouds
162,Abbeville,FR,50.1,1.8333,58.41,60,95,8.05,overcast clouds
163,Lulea,SE,65.5842,22.1547,48.27,93,90,5.75,overcast clouds
164,Ponta Do Sol,PT,32.6667,-17.1,77.72,68,3,7.63,clear sky
165,La Palma,US,33.8464,-118.0467,90.48,53,1,1.01,haze
166,Yellowknife,CA,62.456,-114.3525,44.42,100,90,3.0,mist
167,Platanos,GR,37.6667,21.6167,73.96,59,89,3.02,overcast clouds
168,Guerrero Negro,MX,27.9769,-114.0611,72.48,57,0,9.24,clear sky
169,Jever,DE,53.5833,7.9,55.63,76,75,13.8,broken clouds
170,Berberati,CF,4.2612,15.7922,70.54,96,92,0.36,moderate rain
171,Westport,US,41.1415,-73.3579,65.95,58,75,1.01,broken clouds
172,Canon City,US,38.441,-105.2424,62.96,68,90,1.99,overcast clouds
173,Longyearbyen,SJ,78.2186,15.6401,31.84,93,40,5.75,scattered clouds
174,Zverinogolovskoye,RU,54.4586,64.8542,35.73,81,92,8.21,overcast clouds
175,Minsk,BY,53.9,27.5667,40.75,82,11,7.78,few clouds
176,Whitley Bay,GB,55.0397,-1.4471,59.81,91,40,6.91,scattered clouds
177,Norman Wells,CA,65.282,-126.8329,30.24,93,90,0.0,overcast clouds
178,Eugene,US,44.0521,-123.0867,66.81,66,75,1.01,broken clouds
179,Northam,GB,51.0333,-4.2167,62.38,96,100,18.07,overcast clouds
180,High Level,CA,58.5169,-117.136,42.91,93,75,6.91,light rain
181,Bandarbeyla,SO,9.4942,50.8122,80.08,75,69,12.26,broken clouds
182,Port Elizabeth,ZA,-33.918,25.5701,62.1,100,90,16.11,light rain
183,Clyde River,CA,70.4692,-68.5914,36.73,68,100,6.64,overcast clouds
184,Vila Velha,BR,-20.3297,-40.2925,76.95,69,90,16.11,overcast clouds
185,Vardo,NO,70.3705,31.1107,44.8,81,75,3.44,broken clouds
186,Kavieng,PG,-2.5744,150.7967,82.04,81,97,13.78,moderate rain
187,Dicabisagan,PH,17.0818,122.4157,78.19,89,98,3.56,overcast clouds
188,Mugla,TR,37.2303,28.3557,66.87,45,3,5.3,clear sky
189,Liverpool,GB,53.4106,-2.9779,59.97,90,75,1.99,broken clouds
190,Cayenne,GF,4.9333,-52.3333,87.84,78,75,4.0,broken clouds
191,Liedekerke,BE,50.8667,4.0833,57.94,72,100,11.86,overcast clouds
192,Hofn,IS,64.2539,-15.2082,43.88,84,100,24.9,light rain
193,Bachaquero,VE,9.9694,-71.1494,83.08,75,97,5.79,overcast clouds
194,Bathsheba,BB,13.2167,-59.5167,83.01,89,40,11.5,scattered clouds
195,Bethel,US,41.3712,-73.414,63.7,63,75,10.36,broken clouds
196,Acarau,BR,-2.8856,-40.12,85.91,63,23,20.11,few clouds
197,Padang,ID,-0.9492,100.3543,75.25,80,100,2.64,light rain
198,Maarianhamina,AX,60.0973,19.9348,51.66,87,90,11.5,overcast clouds
